wikidata,label
Q5368751,"The Home Song Stories (Tony Ayres, 2007)"
Q7740191,"The Honourable Wally Norman (Ted Emery, 2003)"
Q5236629,The Horseman (2008)
Q5905890,"Horseplay (Stavros Kazantzidis, 2003)"
Q127600742,Hostage To Fate (2004)
Q130582188,Hot Mess
Q5912157,"Hotel de Love (Craig Rosenberg, 1996)"
Q27703167,"Hotel Mumbai (Anthony Maras, 2018)"
Q12124874,"Hotel Sorrento (Richard Franklin, 1995)"
Q27962542,"Hounds of Love (Ben Young, 2016)"
Q5916271,"Housos vs. Authority (Paul Fenech, 2012)"
Q127600243,How Do You Know Chris? (2020)
Q5937650,"Human Touch (Paul Cox, 2004)"
Q12124935,"Hunt Angels (Alec Morgan, 2006)"
Q2118926,"The Hunter (Daniel Nettheim, 2011)"
Q4085738,"Hunting (Frank Howson, 1991)"
Q5947021,"Hurrah (Frank Shields, 1998)"
Q12124942,"Hurricane Smith (Colin Budds, 1992)"
Q55762009,"I Am Mother (Grant Sputore, 2019)"
Q67171163,"I Am Woman (Unjoo Moon, 2019)"
Q2708907,"I, Frankenstein (Stuart Beattie, 2014)"
Q4535752,"I Love You Too (Daina Reid, 2010)"
Q5988951,"Idiot Box (David Caesar, 1996)"
Q12125013,"The Illustrated Family Doctor (Kriv Stenders, 2005)"
Q12125031,"In a Savage Land (Bill Bennett, 1999)"
Q19874556,"In the Winter Dark (James Bogle, 1998)"
Q7741792,"The Independent (Andrew O'Keefe/John Studley, 2007)"
Q19874606,"Infini (Shane Abbess, 2015)"
Q19874608,"The Infinite Man (Hugh Sullivan, 2014)"
Q127599899,The Inner Sanctuary (1996)
Q6035913,"Innocence (Paul Cox, 2000)"
Q127600415,The Inside Story (2001)
Q7742367,"The Interview (Craig Monahan, 1998)"
Q64004122,"The Invisible Man (Leigh Whannell, 2020)"
Q1778814,"Irresistible (Ann Turner, 2006)"
Q127600287,Is This The Real World (2015)
Q2339315,"The Jammed (Dee McLachlan, 2007)"
Q4303595,"Japanese Story (Sue Brooks, 2003)"
Q27959325,"Jasper Jones (Rachel Perkins, 2017)"
Q1790524,"Jindabyne (Ray Lawrence, 2006)"
Q58814991,"Jirga (Benjamin Gilmour, 2018)"
Q27959460,"Joe Cinque's Consolation (Sotiris Dounoukos, 2016)"
Q11310825,"Joey (Ian Barry, 1997)"
Q19961325,"John Doe: Vigilante (Kelly Dolen, 2014)"
Q6289021,"Josh Jarman (Pip Mushin, 2004)"
Q6302017,"Jucy (Louise Alston, 2010)"
Q61450786,"Judy and Punch (Mirrah Foulkes, 2019)"
Q110983659,"June Again (JJ Winlove, 2020)"
Q28173325,"Jungle (Greg McLean, 2017)"
Q127600106,Justice (1997)
Q127543930,Kairos (2019)
Q6376051,"Kath & Kimderella (Ted Emery, 2012)"
Q127600863,Katusha (2008)
Q6390950,"Kenny (Clayton Jacobson, 2006)"
Q6404196,"Kick (Lynda Heys, 1999)"
Q18165705,"Kill Me Three Times (Kriv Stenders, 2014)"
Q39075595,"The Killing Ground (Damien Power, 2016)"
Q54801155,"The King (David Michôd, 2019)"
Q7744536,"The King is Dead (Rolf de Heer, 2012)"
Q8029053,"Wog Boy 2: Kings of Mykonos (Peter Andrikidis, 2010)"
Q4657584,"A Kink in the Picasso (Marc Gracie, 1990)"
Q1743756,"Kiss or Kill (Bill Bennett, 1997)"
Q127600855,Kissing Paris (2008)
Q10968934,"Kokoda (Alister Grierson, 2006)"
Q781604,"Komodo (Michael Lantieri, 1999)"
Q6465315,"La Spagnola (Steve Jacobs, 2001)"
Q58814676,"Ladies in Black (Bruce Beresford, 2018)"
Q6477009,Lake Mungo (2008)
Q690463,"Lantana (Ray Lawrence, 2001)"
Q20751330,"Last Cab To Darwin (Jeremy Sims, 2015)"
Q6494265,"Last Dance (David Pulbrook, 2012)"
Q4315248,"The Last Days of Chez Nous (Gillian Armstrong, 1992)"
Q1660083,"Last Ride (Glendyn Ivin, 2009)"
Q6494727,"Last Train to Freo (Jeremy Sims, 2006)"
Q21095441,"The Legend of Ben Hall (Matthew Holmes, 2016)"
Q622763,"Legend of the Guardians: The Owls of Ga'Hoole (Zack Snyder, 2010)"
Q127543437,Let Me Not (2004)
Q6532367,"Let's Get Skase (Matthew George, 2001)"
Q6537610,"Lex and Rory (Dean Murphy, 1994)"
Q6544652,"Life (Lawrence Johnston, 1996)"
Q15039826,"The Life of Harry Dare (Aleksi Vellis, 1995)"
Q1511623,"Lightning Jack (Simon Wincer, 1994)"
Q1984949,"Like Minds (Gregory J. Read, 2006)"
Q6547664,"Lilian's Story (Jerzy Domaradzki, 1996)"
Q23013699,"Lion (Garth Davis, 2015)"
Q115627291,A Lion Returns (Serhat Caradee)
Q987973,"A Little Bit of Soul (Peter Duncan, 1998)"
Q19875286,"The Little Death (Josh Lawson, 2014)"
Q1865670,"Little Fish (Rowan Woods, 2005)"
Q64174928,"Little Monsters (Abe Forsythe, 2019)"
Q56604946,Locusts (2019)
Q109352492,"Lone Wolf (Jonathan Ogilvie, 2021)"
Q127599762,The Long Line (1993)
Q104786128,"Long Story Short (Josh Lawson, 2021)"
Q12125818,"Look Both Ways (Sarah Watt, 2005)"
Q834367,"Looking for Alibrandi (Kate Woods, 2000)"
Q20751332,"Looking for Grace (Sue Brooks, 2015)"
Q421583,"Lore (Cate Shortland, 2012)"
Q127600813,Lost And Found (2006)
Q11786367,"Lost Things (Martin Murphy, 2003)"
Q3260102,"Lou (Belinda Chayko, 2010)"
Q6691661,"Love and Other Catastrophes (Emma-Kate Croghan, 1996)"
Q127599544,Love in Ambush (1997)
Q6691803,"Love in Limbo (David Elfick, 1993)"
Q127599917,Love In The First Degree (2006)
Q127543726,Love Is Now (2014)
Q3491414,"Love Serenade (Shirley Barrett, 1996)"
Q127600175,Love You Like That (2021)
Q2296492,"The Loved Ones (Sean Byrne, 2009)"
Q1306776,"Love's Brother (Jan Sardi, 2004)"
Q132636565,"Lovesick (Bill Mousoulis, 2003)"
Q56277621,"LoveStuck (Murray Fahey, 2017)"
Q127600370,Low-Fat Elephants (2000)
Q6697866,"Lucky Break (Ben Lewin, 1994)"
Q6697875,"Lucky Country (Kriv Stenders, 2009)"
Q6697962,"Lucky Miles (Michael James Rowland, 2007)"
Q6705261,"Lust and Revenge (Paul Cox, 1986)"
Q6721611,"Mabo (Rachel Perkins, 2012)"
Q3841961,"Macbeth (Geoffrey Wright, 2006)"
Q6725911,"Mad Bastards (Brendan Fletcher, 2011)"
Q6725917,"Mad Bomber in Love (James Bogle, 1992)"
Q1757288,"Mad Max: Fury Road (George Miller, 2015)"
Q15650834,"The Magic Pudding (Karl Zwicky, 2000)"
Q7749533,"The Magician (Scott Ryan, 2005)"
Q6744098,"Mallboy (Vincent Giarrusso, 2001)"
Q839908,"The Man Who Sued God (Mark Joffe, 2001)"
Q19875370,"Manny Lewis (Anthony Mir, 2015)"
Q4658033,"A Man's Gotta Do (Chris Kennedy, 2004)"
